name,batch,website,one_liner,current_description,classification,layer,notes,relevance_score
Alter,Summer 2025,https://alterai.dev,Secure access control and authorization platform for agent workflows,"Zero-trust identity and access control platform for AI agents. Wraps every tool call in authentication, authorization, and guardrails.",AGENT-INFRA-DIRECT,"identity, auth","Core agent infra. Manages ephemeral credentials, parameter-level authorization.",62
Orthogonal,Winter 2026,https://orthogonal.com,Agentic Payments for APIs,"Trusted Skills and APIs for agentic payments. Works with Claude Code, Codex, Cursor.",AGENT-INFRA-DIRECT,payments,Agent payments infrastructure. Enables agents to transact.,57
Protegee,F24,http://protegee.ai,Payments API for AI Agents,Payments API for AI Agents. Website shows pivot to Attimet.,AGENT-INFRA-DIRECT,payments,May have pivoted. Original YC pitch was agent payments.,52
Castari,Fall 2025,https://castari.com,Vercel for AI Agents – One click deploy for the Claude Agent SDK,Deployment platform for Claude Agent SDK. One-click deploy agents to production.,AGENT-INFRA-DIRECT,deployment,Vercel for AI Agents. Tightly coupled to Anthropic ecosystem.,44
Dedalus Labs,Summer 2025,https://www.dedaluslabs.ai/,Connect any LLM to any MCP tools and create complex agents in minutes.,"MCP Auth framework and marketplace. Connect LLMs to MCP tools, build complex agents.",AGENT-INFRA-DIRECT,"MCP, orchestration",MCP infrastructure play. Auth framework for MCP is notable.,43
Multifactor,Fall 2025,https://multifactor.com,"Zero-trust authentication, authorization, and auditing for AI agents",Secure online account sharing for humans and AI. Zero-trust auth and auditing for AI agents.,AGENT-INFRA-DIRECT,"identity, auth",Agent identity and credential sharing. Bridges human and AI auth.,40
Blaxel,X25,https://blaxel.ai,AWS for AI Agents,Persistent Sandbox Platform for AI Agents. Near-instant latency.,AGENT-INFRA-DIRECT,"execution, sandbox",AWS for AI Agents. Persistent sandboxed execution environments.,40
Locus,Fall 2025,https://paywithlocus.com,Payment infrastructure for AI agents,AI Agent Payment Infrastructure. Secure Escrow and Policy Enforcement.,AGENT-INFRA-DIRECT,payments,Agent-specific payment infra with escrow. Directly relevant to Agent LLC.,38
Truffle AI,W25,https://www.trytruffle.ai/,AWS for AI Agents,AWS for AI Agents. (Website returned empty - JS rendered),AGENT-INFRA-DIRECT,execution,Agent cloud platform. Minimal website info.,25
Kernel,Summer 2025,https://www.kernel.sh,"Crazy fast, open source infra for AI agents to use the Internet",Browser infrastructure for web agents and automations. Open source.,AGENT-INFRA-DIRECT,"execution, browser",Infra for agents to use the Internet. Core execution layer.,24
Sentrial,Winter 2026,https://sentrial.com/,Production Monitoring for AI Agents,Production Monitoring for AI Agents. (Website returned empty),AGENT-INFRA-DIRECT,observability,Agent monitoring/observability.,23
Nozomio,Summer 2025,https://www.nozomio.com/,Context augmentation for agents,Context augmentation for agents. (Website returned empty),AGENT-INFRA-DIRECT,"memory, context",Agent context/memory layer.,23
Manufact (formerly mcp-use),Summer 2025,https://manufact.com,Open source SDK & cloud infrastructure for MCP Servers & ChatGPT Apps ,"Build and Deploy MCP Agents, Servers and Apps. Open source SDK and cloud infrastructure.",AGENT-INFRA-DIRECT,"MCP, orchestration","MCP infrastructure. Registry, SDK, cloud hosting for MCP servers.",22
Scrapybara,F24,https://scrapybara.com,Virtual Desktops for AI Agents,Virtual Desktops for AI Agents. Remote desktop instances for computer use.,AGENT-INFRA-DIRECT,"execution, sandbox",Core agent execution infra. Hosts virtual desktops for agents.,22
Agentic Fabriq,Fall 2025,https://www.agenticfabriq.com,Okta for Agents.,Okta for Agents. (JS-rendered site),AGENT-INFRA-DIRECT,"identity, auth",Agent identity management. Directly analogous to Okta but for agents.,20
Hyperspell,Fall 2025,https://hyperspell.com,Memory for AI Agents,Memory and Context Layer for AI Agents. Automatic memory connected to user data.,AGENT-INFRA-DIRECT,"memory, context",Agent memory infrastructure. Gives agents persistent memory.,19
Lemma,Fall 2025,https://www.uselemma.ai/,Continuous learning for AI agents,"Continuous Learning for AI Agents. Monitor behavior, turn failures into improvements.",AGENT-INFRA-DIRECT,"observability, learning",Agent improvement loop. Production monitoring + learning.,19
Lucidic AI,W25,https://lucidic.ai,Weights & Biases for AI Agents,Training Platform for Reliable AI Agents. Weights & Biases for agents.,AGENT-INFRA-DIRECT,"evaluation, training",Agent evaluation and training platform.,19
Praxos,S24,https://www.praxos.ai,Data layer for AI agents,Data layer for AI agents. (Website empty),AGENT-INFRA-DIRECT,data,Agent data infrastructure.,18
AgentMail,Summer 2025,https://agentmail.to,Email Inboxes for AI Agents,Email Inboxes for AI Agents. Email inbox API that gives agents their own email.,AGENT-INFRA-DIRECT,communication,Core agent infra. Gives agents email identity.,17
Butter,Winter 2025,https://butter.dev,Muscle Memory Cache for Agents,Local Agent Sandboxes. bVisor lightweight sandbox runtime for AI agents.,AGENT-INFRA-DIRECT,"execution, sandbox",Agent sandbox infrastructure. Embeds directly into local process.,17
Hamming AI,S24,https://hamming.ai/,Automated AI voice agent testing,Enterprise Voice Agent Testing and Production Monitoring.,AGENT-INFRA-DIRECT,"testing, observability",Testing/QA infrastructure specifically for voice AI agents.,16
ZeroEval,Summer 2025,https://zeroeval.com,Auto-optimizer for AI agents,Build self-improving agents. Calibrated LLM judges score every output.,AGENT-INFRA-DIRECT,"evaluation, optimization",Agent auto-optimization and evaluation.,15
AgentHub,Summer 2025,https://www.agenthublabs.com,The simulation and evaluation engine for AI agents,Simulation and evaluation engine for AI agents. (Website empty),AGENT-INFRA-DIRECT,"evaluation, simulation",Agent testing/evaluation infrastructure.,15
Abundant,F24,https://www.abundant.ai/,Human Supervision for AI Agents,Frontier RL environments and datasets. Human supervision for AI agents.,AGENT-INFRA-DIRECT,"safety, training",Safety/supervision infrastructure for agents. RL environments.,15
Janus,Spring 2025,https://www.withjanus.com/,Evaluate AI Agents with Simulation Environments,Video Evaluation Benchmark. Simulation environments to evaluate AI agents.,AGENT-INFRA-DIRECT,"evaluation, simulation",Agent evaluation infrastructure with simulation environments.,14
Osmosis,Winter 2025,https://osmosis.ai/,Reinforcement Learning for AI Agents,Forward Deployed Reinforcement Learning Platform for AI Agents.,AGENT-INFRA-DIRECT,"training, RL",RL training platform specifically for AI agents.,14
Foundry,F24,https://www.foundryrl.com/,World Model for Browser Agents,World's most advanced simulation and data engine for AI web agents.,AGENT-INFRA-DIRECT,"simulation, browser",Simulation infrastructure for browser agents.,14
A1Base,W25,https://www.a1base.com/,Twilio for AI Agents,"Twilio for AI Agents. API to give agents phone number, email, and trusted identity.",AGENT-INFRA-DIRECT,"communication, identity",Core agent identity and communication infra.,13
Gulp,W25,https://gulp.ai/,Real-Time Self-Improvement for AI Agents,Real-Time Self-Improvement for AI Agents. Website redirects to Osmosis.,AGENT-INFRA-DIRECT,"training, optimization",May have merged with Osmosis. Agent self-improvement.,13
Salus,Winter 2026,https://www.usesalus.ai/,Guardrails to validate your agent's actions before they execute,Validate all agent actions before they execute. Block incorrect actions at runtime.,AGENT-INFRA-DIRECT,"safety, guardrails",Agent guardrails infrastructure. Runtime action validation.,12
Golf,X25,https://golf.dev/,Control layer for remote MCP servers,Agentic AI and MCP Security and Governance for Enterprises. Control layer for remote MCP servers.,AGENT-INFRA-DIRECT,"MCP, security",MCP security/governance layer. Controls agent access to MCP servers.,12
truthsystems,Summer 2025,https://www.truthsystems.ai,Automatically blocking risky behavior with real-time governance agents,Real-time governance agents that automatically block risky behavior.,AGENT-INFRA-DIRECT,"safety, governance",Agent governance infrastructure. Real-time behavior monitoring.,12
Cyberdesk,Summer 2025,https://www.cyberdesk.io,Self learning computer use agent for developers,"Computer use agent for Windows. Self-learning. For healthcare, finance, legacy systems.",AGENT-INFRA-DIRECT,"execution, computer use",Computer use execution infrastructure for agents on Windows.,12
Bear,Fall 2025,https://usebear.ai,Marketing Stack for AI Agents,Marketing Stack for AI Agents. Generate revenue from AI agent traffic.,AGENT-INFRA-DIRECT,"marketing, commerce",Marketing infrastructure where agents are the customer channel.,11
Cekura,Fall 2024,https://www.cekura.ai/,Voice AI and Chat AI agents: Testing and Observability,Automated QA for Voice AI and Chat AI Agents.,AGENT-INFRA-DIRECT,"testing, observability",Testing infrastructure for conversational AI agents.,11
Klavis AI,X25,https://www.klavis.ai/,Open source MCP clients and Servers,MCP infrastructure for AI to use tools reliably at scale.,AGENT-INFRA-DIRECT,"MCP, tools",MCP infrastructure platform. Core tool-use layer for agents.,10
TectoAI,Summer 2025,https://www.tecto.ai/,A Platform for AI Governance,AI Governance for Regulated Enterprise. Governance for AI Agents in regulated industries.,AGENT-INFRA-DIRECT,"governance, compliance",Agent governance platform for regulated industries.,10
Vibrant Labs,Winter 2024,https://vibrantlabs.com/,RL environments for long horizon AI Agents,Simulation environments for AI agents. RL environments for long horizon agents.,AGENT-INFRA-DIRECT,"training, simulation",Agent simulation infrastructure.,10
Maven,Winter 2026,https://www.trymaven.com,Payment infrastructure built for voice,Payments Layer for Voice AI Agents. Add payments to any voice agent in minutes.,AGENT-INFRA-DIRECT,payments,Agent payment infrastructure specifically for voice AI.,9
The Context Company,Fall 2025,https://thecontext.company,Monitor AI agents and understand user behavior,Monitor AI agents and understand user behavior. See where users get confused.,AGENT-INFRA-DIRECT,observability,Agent observability and UX analytics.,9
Capacitive,X25,https://capacitive.ai/,The enterprise data gateway company.,Enterprise data gateway. Intranet access for agents.,AGENT-INFRA-DIRECT,"data, access",Gives agents access to enterprise intranet/data.,9
Roark,W25,https://roark.ai,Datadog for Voice AI,"Datadog for Voice AI. Monitoring, evaluation, simulations for voice agents.",AGENT-INFRA-DIRECT,"testing, observability",Voice AI testing and monitoring infrastructure.,9
Relari,W24,https://www.relari.ai/,Testing and Simulation Stack for GenAI Systems,Designing Intelligence with Intent. Testing and simulation stack for GenAI.,AGENT-INFRA-DIRECT,"evaluation, testing",Agent testing and evaluation infrastructure.,9
Zep AI,W24,https://www.getzep.com/,The Memory Foundation For Your AI Stack,"Context Engineering and Agent Memory Platform. Graph RAG, Knowledge Graph, MCP.",AGENT-INFRA-DIRECT,memory,"Core agent memory infrastructure. Memory, context, knowledge graph.",9
Airweave,X25,https://airweave.ai,Open-Source Tool That Lets Agents Search Any App or Database,Context Retrieval Layer for AI. Lets agents search any app or database. Open source.,AGENT-INFRA-DIRECT,"data, retrieval",Agent data access infrastructure. Universal search for agents.,8
Galini,F24,https://www.galini.ai/,Compliance guardrails-as-a-service for AI applications,Compliance guardrails-as-a-service for AI applications. (Website minimal),AGENT-INFRA-DIRECT,"compliance, guardrails",Compliance guardrails infrastructure for AI.,8
General Analysis,S24,https://generalanalysis.com,Automated AI Safety and Red Teaming Tools,"Security for Agentic AI. Automated red teaming, risk forecasting.",AGENT-INFRA-DIRECT,"safety, security",Security infrastructure for agentic AI systems.,8
Compresr,Winter 2026,https://compresr.ai,LLM-native context compression ,"LLM-native context compression. Cut costs, improve performance.",AGENT-INFRA-ADJACENT,"memory, context",Enables agents to handle more context. Infrastructure layer.,24
Playgent,Summer 2025,https://useplaygent.com,Sandboxes for AI agents,RL Environments for Finance. Originally sandboxes for AI agents.,AGENT-INFRA-ADJACENT,"training, simulation",Pivoted from agent sandboxes to RL environments for financial agents.,24
Mastra,W25,https://mastra.ai,"The Javascript framework for building AI agents, from the Gatsby devs","TypeScript AI Framework. Agents, workflows, observability, RAG. From Gatsby devs.",AGENT-INFRA-ADJACENT,framework,Agent framework. Popular (21.7k GitHub stars). Adjacent infrastructure.,22
Chamber,Winter 2026,https://www.usechamber.io,Autopiloting your AI infrastructure,GPU Infrastructure Optimization for AI/ML Teams. ROI calculator.,AGENT-INFRA-ADJACENT,compute,"GPU optimization, not agent-specific.",21
Keet,S24,https://trykeet.com,Authentication for AI Agents,Automated enterprise onboarding. Originally auth for AI agents.,AGENT-INFRA-ADJACENT,"identity, auth",YC pitch was agent auth. Website now shows enterprise onboarding automation.,21
Sourcebot,Fall 2025,https://www.sourcebot.dev/,Helping humans and AI agents understand massive codebases,"Code Understanding Platform. Self-hosted, helps humans and AI agents understand codebases.",AGENT-INFRA-ADJACENT,"data, code",Code understanding for agents. Self-hosted.,19
assistant-ui,W25,https://assistant-ui.com,Open Source React.js Library for AI Chat,"Open Source React components for AI Chat. Tool UI, MCP App Studio.",AGENT-INFRA-ADJACENT,"UI, framework",UI components for agent interfaces.,19
Modelence,Summer 2025,https://modelence.com,All-in-one TypeScript cloud for production AI apps,All-in-one TypeScript cloud for production AI apps.,AGENT-INFRA-ADJACENT,deployment,Production deployment for AI apps. Not agent-specific.,18
Pipeshift,S24,https://pipeshift.com,Modular Orchestration Platform for Open Source AI,Deploy AI models in Production. Modular orchestration for open source AI.,AGENT-INFRA-ADJACENT,"inference, deployment",Model serving platform. Not agent-specific.,18
Wildcard,W25,https://wild-card.ai,Make APIs work for AI Agents,Get products mentioned in ChatGPT Shopping. Pivoted from APIs-for-agents to AI commerce.,AGENT-INFRA-ADJACENT,commerce,Pivoted from agent API infra to AI commerce optimization.,16
RowBoat Labs,S24,https://www.rowboatlabs.com,Open-source AI-assisted agent builder,AI coworker with memory. Open-source agent builder.,AGENT-INFRA-ADJACENT,framework,Agent builder framework with memory.,16
Cumulus Labs,Winter 2026,https://cumuluslabs.io,The Optimized GPU Cloud,Fastest Serverless GPU Inference Cloud.,AGENT-INFRA-ADJACENT,"compute, inference",GPU cloud for inference. Not agent-specific.,15
Lua Global Inc,Fall 2025,https://heylua.ai/,The mid-market agent platform,Agent OS. Build AI agents without touching infrastructure.,AGENT-INFRA-ADJACENT,"framework, deployment",Agent platform for mid-market. Framework/deployment.,15
Sim,Spring 2025,https://sim.ai,Open source platform to build AI agent workflows,Open source platform to build AI agent workflows.,AGENT-INFRA-ADJACENT,"orchestration, workflow",Agent workflow builder. Open source.,15
Notte,Summer 2025,https://www.notte.cc/,Reliable Web Agents for Enterprise,Web automation platform. Browser infrastructure for web automations.,AGENT-INFRA-ADJACENT,"browser, execution",Browser infra that agents use. Not agent-first but adjacent.,15
HumanLayer,F24,https://humanlayer.dev,Human-in-the-Loop for AI Agents,Pivoted to CodeLayer IDE. Originally human-in-the-loop for agents.,AGENT-INFRA-ADJACENT,"safety, human-in-loop",Pivoted from agent safety to AI coding IDE.,15
Comfy Deploy,S24,https://comfydeploy.com,Vercel for Gen AI applications,ComfyUI for teams. Vercel for GenAI applications.,AGENT-INFRA-ADJACENT,deployment,"Deployment for generative AI, not agent-specific.",15
Okibi,Summer 2025,https://okibi.ai,"Build AI coworkers using natural language, it's Lovable for agents",Build AI coworkers using natural language. Lovable for agents. (JS-rendered),AGENT-INFRA-ADJACENT,framework,No-code agent builder. Framework play.,13
Lumenary,S24,https://lumenary.com,Build production-worthy software quickly with AI.,Build production-worthy software with AI. (JS-rendered),AGENT-INFRA-ADJACENT,development,AI development platform.,13
Tesseral,Winter 2024,https://tesseral.com,The open source platform for managing identity in business software,Open source B2B user management. Has AI and Machine Identity section.,AGENT-INFRA-ADJACENT,identity,Identity management expanding into machine/AI identity.,13
Trace,Summer 2025,https://www.trace.so/,Workflow automation that routes tasks to humans and AI,AI orchestration layer for modern teams. Routes tasks to humans and AI.,AGENT-INFRA-ADJACENT,"orchestration, workflow",Summer 2025 batch. Different from W25 Trace. Workflow orchestration.,12
Halluminate,Summer 2025,https://halluminate.ai/,Data and RL environments to automate knowledge work,Data and RL environments for finance. (JS-rendered),AGENT-INFRA-ADJACENT,"training, RL",RL training environments. Finance-focused.,12
BrowserBook,Fall 2024,https://www.browserbook.com,The Browser Automation IDE,Browser Automation IDE. AI-enabled environment for deterministic browser automation.,AGENT-INFRA-ADJACENT,"browser, tools",Browser automation tooling. Adjacent to agent execution.,12
Keywords AI,W24,https://keywordsai.co,"LLM observability, prompt management, evals.","LLM Engineering Platform. Observability, prompt management, evals.",AGENT-INFRA-ADJACENT,observability,LLM observability. Not agent-specific but widely used by agent builders.,12
RunAnywhere,Winter 2026,https://www.runanywhere.ai/,The default way of running On-Device AI at Scale,On-Device AI for Mobile and Edge at scale.,AGENT-INFRA-ADJACENT,"inference, edge",Edge inference. Not agent-specific.,11
Parachute,Summer 2025,https://parachute-ai.com,Infrastructure for hospitals to monitor and deploy clinical AI ,Governance Infrastructure for Clinical AI. Monitor and deploy clinical AI.,AGENT-INFRA-ADJACENT,"governance, healthcare",AI governance for healthcare. Domain-specific but infrastructure pattern.,11
Patched,S24,https://patched.codes,Open-source workflow automation for dev teams,"Agentic workflows for Enterprise IT and Ops. Production-ready, runs in your infra.",AGENT-INFRA-ADJACENT,orchestration,Open-source agentic workflow platform.,11
Unsiloed AI,Fall 2025,https://www.unsiloed.ai/,API for parsing multimodal unstructured data,API for parsing multimodal unstructured data. (Empty),AGENT-INFRA-ADJACENT,data,Data parsing infrastructure for AI.,10
Confident AI,W25,https://confident-ai.com,Open-Source Unit Testing for LLM Applications,"AI Quality Platform. LLM Evaluation, Observability. Open-source DeepEval.",AGENT-INFRA-ADJACENT,"evaluation, testing",LLM testing/eval. Widely used but not agent-specific.,10
Exla,W25,https://exla.ai/,An SDK to run transformer models anywhere,SDK to run transformer models anywhere. Edge inference. (JS-rendered),AGENT-INFRA-ADJACENT,inference,Model inference SDK.,10
Circlemind,F24,https://circlemind.co,Circlemind is an open-source RAG using knowledge graphs and PageRank.,Open-source RAG using knowledge graphs and PageRank. General AI agents.,AGENT-INFRA-ADJACENT,"RAG, data",RAG infrastructure with knowledge graphs.,10
Reducto,W24,https://reducto.ai,The most accurate API to parse documents,Most accurate API to parse documents. $108M raised.,AGENT-INFRA-ADJACENT,"data, parsing",Document parsing API used by agents.,10
